ID;Name;Activity;Interaction;Neighbors
1;Ali;10;46.43;38,58,66
2;Mehmet;86;55.95;16,39,40
3;Ayse;73;77.38;42,7
4;Fatma;45;28.57;43,5
5;Can;69;102.38;4,41,69,34
6;Ece;16;80.95;35,56
7;Burak;18;7.14;3,21,50
8;Huseyin;27;4.76;19,44
9;Murat;91;63.1;
10;Elif;95;8.33;33,39,61
11;Zeynep;29;45.24;28,29,68,51
12;Gamze;16;55.95;29,49,26,33
13;Merve;67;86.9;21,27,30,24
14;Onur;20;48.81;37,61,18,22
15;Selin;99;19.05;
16;Berk;59;1.19;2,58,34
17;Deniz;16;14.29;33,68,38,45,50
18;Arda;98;40.48;14,64,20,46,52
19;Pelin;40;22.62;8,52,31,67
20;Gokhan;93;95.24;18
21;Tugce;83;89.29;13,7,57,36
22;Emre;28;36.9;14,47,57,70
23;Hilal;12;29.76;48,65
24;Furkan;59;19.05;13,32,52,40
25;Busra;66;50;51
26;Volkan;89;50;12,60,36
27;Seda;78;34.52;13,53
28;Tolga;62;50;11,53
29;Ezgi;54;67.86;11,12
30;Mert;82;35.71;13,66
31;Ozlem;89;29.76;19
32;Kerem;87;70.24;24,55,41
33;Gizem;43;95.24;17,10,12
34;Serkan;73;51.19;5,16,52,60,53
35;Sibel;49;8.33;6,45,46,47,49,55
36;Oguz;10;51.19;21,26
37;Hande;64;59.52;14
38;Kaan;77;51.19;1,17,53,64
39;Melis;54;85.71;2,10,63,68
40;Sinan;83;69.05;2,24
41;Banu;11;1.19;5,32,62,69
42;Bora;40;9.52;3
43;Irem;76;85.71;4
44;Yigit;12;86.9;8,66
45;Damla;18;0;35,17
46;Metin;43;88.1;35,18
47;Eda;26;46.43;35,22,49
48;Hakan;96;19.05;23
49;Lale;25;53.57;12,35,47,51,63,65,67
50;Kemal;88;57.14;7,17
51;Asli;32;17.86;11,25,49
52;Omer;29;22.62;19,24,34,18,66
53;Derya;29;91.67;38,27,28,34
54;Emir;35;32.14;
55;Cem;99;51.19;32,35
56;Levent;99;10.71;6
57;Nihal;45;91.67;21,22,64
58;Tarik;73;65.48;16,1
59;Bahar;14;90.48;
60;Sercan;26;61.9;26,34
61;Ceyda;28;70.24;14,10
62;Umut;43;53.57;41
63;Ayla;91;39.29;39,49
64;Ozan;35;40.48;18,38,57
65;Defne;74;101.19;23,49
66;Efe;34;20.24;44,1,30,52
67;Mine;73;91.67;19,49,70
68;Alper;23;17.86;11,17,39
69;Yelda;83;92.86;5,41
70;Koray;90;25;67,22
